Total Run Time,60.015,Early Exit, false
Number of Particles of Type 1,75
Number of Particles of Type 2,75
Number of Particles of Type 3,75
Number of Particles of Type 4,75
Number of Updates,Frame Time,TotalTime,
0,0,0,
0,0.015,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0,0.015,
0,0.016,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0.016,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0,0.047,
0,0.015,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0,0.062,
0,0.016,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0,0.078,
0,0.016,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
0,0,0.094,
1,0.015,0.109,
0,0.031,0.14,
0,0,0.14,
0,0.016,0.156,
0,0,0.156,
0,0,0.156,
0,0,0.156,
0,0,0.156,
0,0.016,0.172,
0,0,0.172,
0,0,0.172,
0,0,0.172,
0,0.015,0.187,
0,0,0.187,
0,0,0.187,
0,0,0.187,
0,0,0.187,
1,0.016,0.203,
0,0.031,0.234,
0,0,0.234,
0,0.016,0.25,
0,0,0.25,
0,0,0.25,
0,0.015,0.265,
0,0,0.265,
0,0,0.265,
0,0,0.265,
0,0.016,0.281,
0,0,0.281,
0,0,0.281,
0,0,0.281,
0,0.016,0.297,
0,0,0.297,
0,0,0.297,
0,0,0.297,
1,0.015,0.312,
0,0.032,0.344,
0,0.015,0.359,
0,0,0.359,
0,0,0.359,
0,0,0.359,
0,0,0.359,
0,0.016,0.375,
0,0,0.375,
0,0,0.375,
0,0,0.375,
0,0.015,0.39,
0,0,0.39,
0,0,0.39,
1,0.016,0.406,
0,0.031,0.437,
0,0.016,0.453,
0,0,0.453,
0,0,0.453,
0,0.016,0.469,
0,0,0.469,
0,0,0.469,
0,0,0.469,
0,0.015,0.484,
0,0,0.484,
0,0,0.484,
0,0.016,0.5,
0,0,0.5,
0,0,0.5,
0,0,0.5,
1,0.015,0.515,
0,0.047,0.562,
0,0,0.562,
0,0,0.562,
0,0,0.562,
0,0.016,0.578,
0,0,0.578,
0,0,0.578,
0,0.016,0.594,
0,0,0.594,
0,0,0.594,
1,0.015,0.609,
0,0.031,0.64,
0,0,0.64,
0,0.016,0.656,
0,0,0.656,
0,0,0.656,
0,0,0.656,
0,0,0.656,
0,0.016,0.672,
0,0,0.672,
0,0,0.672,
0,0,0.672,
0,0.015,0.687,
0,0,0.687,
0,0,0.687,
0,0,0.687,
1,0.016,0.703,
0,0.031,0.734,
0,0,0.734,
0,0,0.734,
0,0.016,0.75,
0,0,0.75,
0,0,0.75,
0,0,0.75,
0,0.015,0.765,
0,0,0.765,
0,0,0.765,
0,0.016,0.781,
0,0,0.781,
0,0,0.781,
0,0,0.781,
0,0.016,0.797,
0,0,0.797,
0,0,0.797,
1,0.015,0.812,
0,0.032,0.844,
0,0,0.844,
0,0.015,0.859,
0,0,0.859,
0,0,0.859,
0,0,0.859,
0,0.016,0.875,
0,0,0.875,
0,0,0.875,
0,0.015,0.89,
0,0,0.89,
0,0,0.89,
1,0.016,0.906,
0,0.031,0.937,
0,0,0.937,
0,0,0.937,
0,0.016,0.953,
0,0,0.953,
0,0,0.953,
0,0,0.953,
0,0.016,0.969,
0,0,0.969,
0,0,0.969,
0,0,0.969,
0,0.015,0.984,
0,0,0.984,
0,0,0.984,
0,0,0.984,
0,0.016,1,
0,0,1,
1,0.015,1.015,
0,0.032,1.047,
0,0,1.047,
0,0.015,1.062,
0,0,1.062,
0,0,1.062,
0,0,1.062,
0,0,1.062,
0,0.016,1.078,
0,0,1.078,
0,0,1.078,
0,0,1.078,
0,0.016,1.094,
0,0,1.094,
0,0,1.094,
1,0.015,1.109,
0,0.031,1.14,
0,0.016,1.156,
0,0,1.156,
0,0,1.156,
0,0,1.156,
0,0.016,1.172,
0,0,1.172,
0,0,1.172,
0,0,1.172,
0,0.015,1.187,
0,0,1.187,
0,0,1.187,
0,0,1.187,
0,0,1.187,
1,0.016,1.203,
0,0.031,1.234,
0,0,1.234,
0,0,1.234,
0,0.016,1.25,
0,0,1.25,
0,0,1.25,
0,0,1.25,
0,0.015,1.265,
0,0,1.265,
0,0,1.265,
0,0,1.265,
0,0,1.265,
0,0.016,1.281,
0,0,1.281,
0,0,1.281,
0,0,1.281,
0,0,1.281,
0,0.016,1.297,
0,0,1.297,
0,0,1.297,
0,0,1.297,
1,0.015,1.312,
0,0.032,1.344,
0,0,1.344,
0,0,1.344,
0,0.015,1.359,
0,0,1.359,
0,0,1.359,
0,0,1.359,
0,0,1.359,
0,0.016,1.375,
0,0,1.375,
0,0,1.375,
0,0,1.375,
0,0,1.375,
0,0.015,1.39,
0,0,1.39,
0,0,1.39,
0,0,1.39,
1,0.016,1.406,
0,0.031,1.437,
0,0,1.437,
0,0,1.437,
0,0.016,1.453,
0,0,1.453,
0,0,1.453,
0,0,1.453,
0,0.016,1.469,
0,0,1.469,
0,0,1.469,
0,0.015,1.484,
0,0,1.484,
0,0,1.484,
0,0,1.484,
0,0,1.484,
0,0.016,1.5,
0,0,1.5,
0,0,1.5,
0,0,1.5,
1,0.015,1.515,
0,0.032,1.547,
0,0,1.547,
0,0,1.547,
0,0.015,1.562,
0,0,1.562,
0,0,1.562,
0,0,1.562,
0,0.016,1.578,
0,0,1.578,
0,0,1.578,
0,0,1.578,
0,0,1.578,
0,0.016,1.594,
0,0,1.594,
0,0,1.594,
0,0,1.594,
0,0,1.594,
1,0.015,1.609,
0,0.031,1.64,
0,0,1.64,
0,0,1.64,
0,0.016,1.656,
0,0,1.656,
0,0,1.656,
0,0,1.656,
0,0,1.656,
0,0.016,1.672,
0,0,1.672,
0,0,1.672,
0,0.015,1.687,
0,0,1.687,
0,0,1.687,
0,0,1.687,
1,0.016,1.703,
0,0.031,1.734,
0,0,1.734,
0,0,1.734,
0,0.016,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0.015,1.765,
0,0,1.765,
0,0,1.765,
0,0,1.765,
