Number of Particles of Type 1,50
Number of Particles of Type 2,50
Number of Particles of Type 3,50
Number of Particles of Type 4,50
Number of Updates,Frame Time,TotalTime,
0,0.016,0.016,
0,0.015,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
0,0,0.031,
1,0.016,0.047,
0,0.016,0.063,
0,0,0.063,
1,0.015,0.078,
0,0.016,0.094,
0,0,0.094,
0,0,0.094,
1,0.016,0.11,
0,0.015,0.125,
0,0,0.125,
0,0,0.125,
1,0.016,0.141,
0,0.015,0.156,
1,0.016,0.172,
0,0.016,0.188,
0,0,0.188,
0,0,0.188,
0,0,0.188,
1,0.015,0.203,
1,0.032,0.235,
0,0.015,0.25,
0,0,0.25,
0,0,0.25,
0,0.016,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
0,0,0.266,
1,0.015,0.281,
0,0.016,0.297,
0,0,0.297,
0,0,0.297,
1,0.016,0.313,
0,0.015,0.328,
0,0,0.328,
0,0,0.328,
1,0.016,0.344,
0,0.016,0.36,
0,0,0.36,
0,0,0.36,
1,0.015,0.375,
0,0.016,0.391,
0,0,0.391,
1,0.015,0.406,
0,0.016,0.422,
0,0,0.422,
0,0,0.422,
1,0.016,0.438,
0,0.015,0.453,
0,0,0.453,
1,0.016,0.469,
0,0.016,0.485,
0,0,0.485,
1,0.015,0.5,
0,0.016,0.516,
0,0,0.516,
0,0.015,0.531,
0,0,0.531,
0,0,0.531,
0,0,0.531,
0,0,0.531,
1,0.016,0.547,
0,0.016,0.563,
0,0,0.563,
0,0,0.563,
0,0,0.563,
1,0.015,0.578,
0,0.016,0.594,
0,0,0.594,
0,0,0.594,
1,0.016,0.61,
0,0.015,0.625,
0,0,0.625,
0,0,0.625,
0,0,0.625,
1,0.016,0.641,
0,0.015,0.656,
0,0,0.656,
0,0,0.656,
1,0.016,0.672,
0,0.016,0.688,
0,0,0.688,
1,0.015,0.703,
0,0.016,0.719,
1,0.016,0.735,
0,0.015,0.75,
0,0,0.75,
0,0,0.75,
0,0.016,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
0,0,0.766,
1,0.015,0.781,
0,0.016,0.797,
0,0,0.797,
1,0.016,0.813,
0,0.015,0.828,
1,0.016,0.844,
0,0.016,0.86,
0,0,0.86,
0,0,0.86,
0,0,0.86,
1,0.015,0.875,
0,0.016,0.891,
1,0.015,0.906,
0,0.016,0.922,
0,0,0.922,
1,0.016,0.938,
0,0.015,0.953,
1,0.016,0.969,
1,0.031,1,
0,0.031,1.031,
0,0,1.031,
0,0,1.031,
0,0,1.031,
0,0,1.031,
1,0.016,1.047,
0,0.016,1.063,
0,0,1.063,
0,0,1.063,
0,0,1.063,
1,0.015,1.078,
0,0.016,1.094,
0,0,1.094,
0,0,1.094,
0,0,1.094,
1,0.016,1.11,
0,0.015,1.125,
0,0,1.125,
0,0,1.125,
0,0,1.125,
1,0.016,1.141,
0,0.015,1.156,
0,0,1.156,
0,0,1.156,
0,0,1.156,
1,0.016,1.172,
0,0.016,1.188,
0,0,1.188,
0,0,1.188,
1,0.015,1.203,
0,0.016,1.219,
0,0,1.219,
0,0,1.219,
0,0,1.219,
1,0.016,1.235,
0,0.015,1.25,
0,0,1.25,
0,0,1.25,
0,0,1.25,
0,0.016,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
0,0,1.266,
1,0.015,1.281,
0,0.016,1.297,
0,0,1.297,
0,0,1.297,
0,0,1.297,
1,0.016,1.313,
0,0.015,1.328,
0,0,1.328,
0,0,1.328,
0,0,1.328,
0,0,1.328,
1,0.016,1.344,
0,0.016,1.36,
0,0,1.36,
0,0,1.36,
0,0,1.36,
0,0,1.36,
1,0.015,1.375,
0,0.016,1.391,
0,0,1.391,
0,0,1.391,
0,0,1.391,
0,0,1.391,
1,0.015,1.406,
0,0.016,1.422,
0,0,1.422,
0,0,1.422,
1,0.016,1.438,
0,0.015,1.453,
0,0,1.453,
0,0,1.453,
0,0,1.453,
1,0.016,1.469,
0,0.016,1.485,
0,0,1.485,
0,0,1.485,
0,0,1.485,
1,0.015,1.5,
0,0.016,1.516,
0,0,1.516,
0,0,1.516,
0,0,1.516,
0,0.015,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
0,0,1.531,
1,0.016,1.547,
0,0.016,1.563,
0,0,1.563,
0,0,1.563,
0,0,1.563,
0,0,1.563,
1,0.015,1.578,
0,0.016,1.594,
0,0,1.594,
0,0,1.594,
0,0,1.594,
1,0.016,1.61,
0,0.015,1.625,
0,0,1.625,
0,0,1.625,
0,0,1.625,
0,0,1.625,
1,0.016,1.641,
0,0.015,1.656,
0,0,1.656,
0,0,1.656,
0,0,1.656,
1,0.016,1.672,
0,0.016,1.688,
0,0,1.688,
0,0,1.688,
0,0,1.688,
1,0.015,1.703,
0,0.016,1.719,
0,0,1.719,
0,0,1.719,
0,0,1.719,
0,0,1.719,
1,0.016,1.735,
0,0.015,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0,1.75,
0,0.016,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
0,0,1.766,
1,0.015,1.781,
0,0.016,1.797,
0,0,1.797,
0,0,1.797,
0,0,1.797,
1,0.016,1.813,
0,0.015,1.828,
0,0,1.828,
0,0,1.828,
0,0,1.828,
0,0,1.828,
1,0.016,1.844,
0,0.016,1.86,
0,0,1.86,
0,0,1.86,
0,0,1.86,
1,0.015,1.875,
0,0.016,1.891,
0,0,1.891,
0,0,1.891,
0,0,1.891,
1,0.015,1.906,
0,0.016,1.922,
0,0,1.922,
0,0,1.922,
0,0,1.922,
0,0,1.922,
1,0.016,1.938,
0,0.015,1.953,
0,0,1.953,
0,0,1.953,
1,0.016,1.969,
0,0.016,1.985,
0,0,1.985,
0,0,1.985,
0,0,1.985,
1,0.015,2,
0,0.016,2.016,
0,0,2.016,
0,0,2.016,
0,0,2.016,
0,0,2.016,
0,0.015,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
0,0,2.031,
1,0.016,2.047,
0,0.016,2.063,
0,0,2.063,
0,0,2.063,
0,0,2.063,
1,0.015,2.078,
0,0.016,2.094,
0,0,2.094,
0,0,2.094,
0,0,2.094,
1,0.016,2.11,
0,0.015,2.125,
0,0,2.125,
0,0,2.125,
0,0,2.125,
1,0.016,2.141,
0,0.015,2.156,
0,0,2.156,
0,0,2.156,
1,0.016,2.172,
0,0.016,2.188,
0,0,2.188,
0,0,2.188,
0,0,2.188,
1,0.015,2.203,
0,0.016,2.219,
0,0,2.219,
0,0,2.219,
0,0,2.219,
1,0.016,2.235,
0,0.015,2.25,
0,0,2.25,
0,0,2.25,
0,0.016,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
0,0,2.266,
1,0.015,2.281,
0,0.016,2.297,
0,0,2.297,
0,0,2.297,
0,0,2.297,
1,0.016,2.313,
0,0.015,2.328,
0,0,2.328,
0,0,2.328,
0,0,2.328,
0,0,2.328,
1,0.016,2.344,
0,0.016,2.36,
0,0,2.36,
0,0,2.36,
0,0,2.36,
1,0.015,2.375,
0,0.016,2.391,
0,0,2.391,
0,0,2.391,
1,0.015,2.406,
0,0.016,2.422,
0,0,2.422,
0,0,2.422,
0,0,2.422,
0,0,2.422,
1,0.016,2.438,
0,0.015,2.453,
0,0,2.453,
0,0,2.453,
0,0,2.453,
1,0.016,2.469,
0,0.016,2.485,
0,0,2.485,
0,0,2.485,
0,0,2.485,
1,0.015,2.5,
0,0.016,2.516,
0,0,2.516,
0,0,2.516,
0,0,2.516,
0,0.015,2.531,
0,0,2.531,
0,0,2.531,
0,0,2.531,
0,0,2.531,
0,0,2.531,
1,0.016,2.547,
0,0.016,2.563,
0,0,2.563,
0,0,2.563,
1,0.015,2.578,
0,0.016,2.594,
0,0,2.594,
0,0,2.594,
1,0.016,2.61,
0,0.015,2.625,
0,0,2.625,
0,0,2.625,
0,0,2.625,
0,0,2.625,
1,0.016,2.641,
0,0.015,2.656,
0,0,2.656,
0,0,2.656,
1,0.016,2.672,
0,0.016,2.688,
0,0,2.688,
0,0,2.688,
0,0,2.688,
1,0.015,2.703,
0,0.016,2.719,
0,0,2.719,
0,0,2.719,
0,0,2.719,
1,0.016,2.735,
0,0.015,2.75,
0,0,2.75,
0,0,2.75,
0,0,2.75,
0,0.016,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
0,0,2.766,
1,0.015,2.781,
0,0.016,2.797,
0,0,2.797,
0,0,2.797,
0,0,2.797,
0,0,2.797,
1,0.016,2.813,
0,0.015,2.828,
0,0,2.828,
0,0,2.828,
1,0.016,2.844,
0,0.016,2.86,
0,0,2.86,
0,0,2.86,
0,0,2.86,
1,0.015,2.875,
0,0.016,2.891,
0,0,2.891,
0,0,2.891,
0,0,2.891,
1,0.015,2.906,
0,0.016,2.922,
0,0,2.922,
0,0,2.922,
0,0,2.922,
0,0,2.922,
1,0.016,2.938,
0,0.015,2.953,
0,0,2.953,
0,0,2.953,
0,0,2.953,
1,0.016,2.969,
0,0.016,2.985,
0,0,2.985,
0,0,2.985,
0,0,2.985,
1,0.015,3,
0,0.016,3.016,
0,0,3.016,
0,0,3.016,
0,0,3.016,
0,0.015,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
0,0,3.031,
1,0.016,3.047,
0,0.016,3.063,
0,0,3.063,
0,0,3.063,
0,0,3.063,
1,0.015,3.078,
0,0.016,3.094,
0,0,3.094,
0,0,3.094,
0,0,3.094,
1,0.016,3.11,
0,0.015,3.125,
0,0,3.125,
0,0,3.125,
0,0,3.125,
1,0.016,3.141,
0,0.015,3.156,
0,0,3.156,
0,0,3.156,
0,0,3.156,
0,0,3.156,
1,0.016,3.172,
0,0.016,3.188,
0,0,3.188,
0,0,3.188,
0,0,3.188,
1,0.015,3.203,
0,0.016,3.219,
0,0,3.219,
0,0,3.219,
0,0,3.219,
0,0,3.219,
1,0.016,3.235,
0,0.015,3.25,
0,0,3.25,
0,0,3.25,
0,0,3.25,
0,0.016,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
0,0,3.266,
1,0.015,3.281,
0,0.016,3.297,
0,0,3.297,
0,0,3.297,
0,0,3.297,
0,0,3.297,
1,0.016,3.313,
0,0.015,3.328,
0,0,3.328,
0,0,3.328,
0,0,3.328,
0,0,3.328,
1,0.016,3.344,
0,0.016,3.36,
